accuracy,loss,val_accuracy,val_loss,learning_rate
0.46064335107803345,1.8302994966506958,0.8613873720169067,0.5490201711654663,0.0010000000474974513
0.8427327871322632,0.4881415367126465,0.9672277569770813,0.1385868787765503,0.0010000000474974513
0.9259412884712219,0.22915244102478027,0.9825299382209778,0.06263822317123413,0.0010000000474974513
0.9526891112327576,0.14781588315963745,0.987503170967102,0.04881533235311508,0.0010000000474974513
0.9652500748634338,0.10713363438844681,0.9929865002632141,0.028699461370706558,0.0010000000474974513
0.972901463508606,0.08569697290658951,0.9926038980484009,0.02756228670477867,0.0010000000474974513
0.9769183993339539,0.07129830121994019,0.9933690428733826,0.027889536693692207,0.0010000000474974513
0.9791500568389893,0.06396060436964035,0.9922213554382324,0.03184828534722328,0.0010000000474974513
0.9893837571144104,0.031490154564380646,0.9960469007492065,0.017407823354005814,0.0005000000237487257
0.9918385744094849,0.02467617765069008,0.995919406414032,0.0181309562176466,0.0005000000237487257
0.9925718307495117,0.02192355878651142,0.9955368638038635,0.017658213153481483,0.0005000000237487257
0.9945484399795532,0.01567818410694599,0.9968120455741882,0.014843731187283993,0.0002500000118743628
0.9959192872047424,0.013513358309864998,0.9973220825195312,0.013114791363477707,0.0002500000118743628
0.9961105585098267,0.011884192004799843,0.9961744546890259,0.015500889159739017,0.0002500000118743628
0.9963974952697754,0.011910384520888329,0.9968120455741882,0.015879124402999878,0.0002500000118743628
